candidate_index,n_estimators,learning_rate,max_depth,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,200,0.03,2,2.908922882845366,2.1888087614678886,0.5285004003436572,0.6469376948223703,84.68238889286295,1.3868457367643714,86.06923462962732,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224019_gradient_boosting_patient_seed42
2,200,0.03,3,2.9249957499458414,2.1909369475146088,0.5255750388255263,0.6430253181770803,124.07756444020197,1.2353365109302104,125.31290095113218,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224225_gradient_boosting_patient_seed42
3,200,0.05,2,3.0087372912734205,2.29851607877196,0.5394356886382168,0.6222926169108078,83.9461839790456,1.2448722617700696,85.19105624081567,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224351_gradient_boosting_patient_seed42
4,200,0.05,3,2.9715317548696545,2.251575489607763,0.5359879422795881,0.6315761914670436,123.33969972329214,1.2598081938922405,124.59950791718438,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224556_gradient_boosting_patient_seed42
5,200,0.1,2,2.9446539423263483,2.2283729368745204,0.5489115089007764,0.6382109123050919,84.94255868392065,1.21220195107162,86.15476063499227,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224722_gradient_boosting_patient_seed42
6,200,0.1,3,3.023216472706478,2.242937603572793,0.5377166466437004,0.6186485281188457,124.18240781221539,1.2813217528164387,125.46372956503183,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_224928_gradient_boosting_patient_seed42
7,400,0.03,2,2.908320274034566,2.188215610923303,0.5311933419358799,0.6470839595581794,170.35594063578174,1.3998301420360804,171.75577077781782,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_225220_gradient_boosting_patient_seed42
8,400,0.03,3,2.9112516253377057,2.164991675041721,0.5187017163717772,0.6463721794554658,250.97418638970703,1.4458390469662845,252.4200254366733,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_225633_gradient_boosting_patient_seed42
9,400,0.05,2,2.9952735533728068,2.2787394005767454,0.5420012701894816,0.6256654438116043,166.8794817700982,1.2587832817807794,168.138265051879,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_225922_gradient_boosting_patient_seed42
10,400,0.05,3,2.9575171631993875,2.2315396853509664,0.5340811673295932,0.6350431801067606,246.6619893279858,1.3353397538885474,247.99732908187434,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_230330_gradient_boosting_patient_seed42
11,400,0.1,2,2.9390962484894847,2.2225439602152144,0.5539815461765362,0.6395752936742706,166.83298981795087,1.2158823180943727,168.04887213604525,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_230619_gradient_boosting_patient_seed42
12,400,0.1,3,3.0416615562640756,2.266563269979732,0.5444891991444631,0.6139809710726527,246.3405209458433,1.353644487913698,247.694165433757,5784.0,799.0,189.0,results/full_experiments_patient/gbr_patient/future_updrs_1/runs/20260420_231027_gradient_boosting_patient_seed42
