candidate_index,n_estimators,max_depth,min_samples_leaf,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,200,,1,5.659788557530877,3.9209840425531914,0.6891420461666814,0.8337299992392753,84.64382698526606,1.2611036361195147,85.90493062138557,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_215955_random_forest_patient_seed42
2,200,,3,5.654051844621002,3.8900083932025424,0.691680482390951,0.8340668880988302,70.76602895604447,1.4067421900108457,72.17277114605531,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220108_random_forest_patient_seed42
3,200,12.0,1,5.7016824599599705,3.912657570344643,0.6897969314415006,0.8312594195484729,80.78475349210203,1.4075212320312858,82.19227472413331,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220231_random_forest_patient_seed42
4,200,12.0,3,5.676353948310663,3.889823548774466,0.6923270481109535,0.8327552779150784,67.55894987797365,1.3231191709637642,68.88206904893741,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220340_random_forest_patient_seed42
5,200,24.0,1,5.659788557530877,3.9209840425531914,0.6891420461666814,0.8337299992392753,86.27426492935047,1.3841836820356548,87.65844861138612,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220508_random_forest_patient_seed42
6,200,24.0,3,5.654051844621002,3.8900083932025424,0.691680482390951,0.8340668880988302,70.07656421419233,1.4587087198160589,71.53527293400839,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220620_random_forest_patient_seed42
7,400,,1,5.702390068502071,3.9683377659574477,0.6909265738842475,0.8312175337766194,170.40846322011203,1.3158241887576878,171.7242874088697,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_220912_random_forest_patient_seed42
8,400,,3,5.695371695716925,3.9477886781694957,0.6934578969072228,0.8316327453904356,136.9696164256893,1.5463495519943535,138.51596597768366,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_221131_random_forest_patient_seed42
9,400,12.0,1,5.713220699675615,3.952670397228043,0.6904504251728307,0.8305757829980355,162.55636392068118,1.4820019751787186,164.0383658958599,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_221415_random_forest_patient_seed42
10,400,12.0,3,5.693538055946778,3.939300392077157,0.6931272336059889,0.8317411404919817,134.78671371378005,1.4825980379246175,136.26931175170466,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_221632_random_forest_patient_seed42
11,400,24.0,1,5.702390068502071,3.9683377659574477,0.6909265738842475,0.8312175337766194,167.52651002304628,1.4029030371457338,168.92941306019202,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_221921_random_forest_patient_seed42
12,400,24.0,3,5.695371695716925,3.9477886781694957,0.6934578969072228,0.8316327453904356,138.41828844184056,1.5149609809741378,139.9332494228147,5784.0,797.0,188.0,results/full_experiments_patient/rf_patient/future_updrs_3/runs/20260420_222142_random_forest_patient_seed42
