run_name,model,target,split,seed,rmse,mae,smape,r2,n_train,n_val,n_dropped_missing
20260422_133858_613221_ridge_updrs_1_patient_seed42,ridge,updrs_1,patient,42,4.865020687141851,3.8440014194612804,0.7187691702234632,0.04859785523302973,2148,466,1
20260422_133858_614678_lasso_updrs_1_patient_seed42,lasso,updrs_1,patient,42,4.8849119038071045,3.9489775356142576,0.7273713884500698,0.04080210880247426,2148,466,1
20260422_133905_184411_linear_regression_updrs_1_patient_seed42,linear_regression,updrs_1,patient,42,5.001738478596791,3.9177643137698483,0.732036997167419,-0.005626488611091496,2148,466,1
20260422_133902_630703_random_forest_updrs_1_patient_seed42,random_forest,updrs_1,patient,42,5.063730443808586,4.024939663569367,0.7283997056609639,-0.030708603911010268,2148,466,1
20260422_133906_675400_xgboost_updrs_1_patient_seed42,xgboost,updrs_1,patient,42,5.183920641232742,4.106396831300254,0.752056997287773,-0.08021805621875089,2148,466,1
20260422_133857_700480_random_forest_updrs_1_time_aware_seed42,random_forest,updrs_1,time_aware,42,5.613991323232405,4.314258622377915,0.5929312109390805,0.18714205799279948,2095,519,1
20260422_133900_248298_ridge_updrs_1_time_aware_seed42,ridge,updrs_1,time_aware,42,5.841652892441983,4.407610518789803,0.6096300264054648,0.1198784093790567,2095,519,1
20260422_133907_847018_linear_regression_updrs_1_time_aware_seed42,linear_regression,updrs_1,time_aware,42,5.852239049532306,4.427186848042641,0.6112353433226602,0.11668563235207008,2095,519,1
20260422_133908_106967_xgboost_updrs_1_time_aware_seed42,xgboost,updrs_1,time_aware,42,5.987591783907934,4.544294560748028,0.6347843421079497,0.07535389031005668,2095,519,1
20260422_133900_256816_lasso_updrs_1_time_aware_seed42,lasso,updrs_1,time_aware,42,6.038304587282247,4.51467580821363,0.6054863431878726,0.059624704054435984,2095,519,1
20260422_133858_613863_ridge_updrs_2_patient_seed42,ridge,updrs_2,patient,42,4.2730378693488,3.4874641394766384,0.9756913914243087,0.34313364268340985,2147,466,2
20260422_133902_759437_random_forest_updrs_2_patient_seed42,random_forest,updrs_2,patient,42,4.322318606914114,3.2645122291984388,0.9745846732655377,0.32789505817596254,2147,466,2
20260422_133905_185260_linear_regression_updrs_2_patient_seed42,linear_regression,updrs_2,patient,42,4.353294892536223,3.502570329087638,0.9754968108571267,0.318227137648592,2147,466,2
20260422_133906_657073_xgboost_updrs_2_patient_seed42,xgboost,updrs_2,patient,42,4.532265015507498,3.5028692507484824,1.0098932160401144,0.26101754287713297,2147,466,2
20260422_133901_405467_lasso_updrs_2_patient_seed42,lasso,updrs_2,patient,42,4.679112549477044,4.028618460288083,0.9681732457452609,0.21235500245611005,2147,466,2
20260422_133857_666961_random_forest_updrs_2_time_aware_seed42,random_forest,updrs_2,time_aware,42,6.132552952441524,4.561397715257255,0.8172809409187304,0.35236100727431574,2094,519,2
20260422_133908_107630_xgboost_updrs_2_time_aware_seed42,xgboost,updrs_2,time_aware,42,6.462390602690307,4.880863175872778,0.8333961832576459,0.2808213544315552,2094,519,2
20260422_133907_817777_linear_regression_updrs_2_time_aware_seed42,linear_regression,updrs_2,time_aware,42,6.819370157965666,5.220012152656039,0.8847546909160372,0.19917263602379498,2094,519,2
20260422_133900_246973_ridge_updrs_2_time_aware_seed42,ridge,updrs_2,time_aware,42,6.848320995288956,5.239854351238352,0.8861049551158686,0.19235856492908932,2094,519,2
20260422_133856_521589_lasso_updrs_2_time_aware_seed42,lasso,updrs_2,time_aware,42,7.129478927492894,5.511280159754466,0.8681810533431044,0.1246818086077558,2094,519,2
20260422_133907_399698_random_forest_updrs_3_patient_seed42,random_forest,updrs_3,patient,42,10.698749030706123,8.08511532336089,0.7896885851051304,0.41652721555254724,2128,462,25
20260422_133901_406241_lasso_updrs_3_patient_seed42,lasso,updrs_3,patient,42,11.11998572770368,9.33248834493022,0.811730059435534,0.3696771325112108,2128,462,25
20260422_133905_179315_linear_regression_updrs_3_patient_seed42,linear_regression,updrs_3,patient,42,11.138422023193698,9.025800758382367,0.8242269992990209,0.3675853219194114,2128,462,25
20260422_133858_612720_ridge_updrs_3_patient_seed42,ridge,updrs_3,patient,42,11.145849729795035,9.064027291211783,0.8194521613694838,0.3667415835680756,2128,462,25
20260422_133906_776301_xgboost_updrs_3_patient_seed42,xgboost,updrs_3,patient,42,11.163569554417824,8.537053464956227,0.8078050245093924,0.3647264571876907,2128,462,25
20260422_133908_852453_random_forest_updrs_3_time_aware_seed42,random_forest,updrs_3,time_aware,42,13.291943260749893,9.8682205396378,0.6748735982003573,0.43591177734363307,2073,517,25
20260422_133908_517852_xgboost_updrs_3_time_aware_seed42,xgboost,updrs_3,time_aware,42,13.625323564350682,10.280753082547127,0.6811300709769468,0.407260698996301,2073,517,25
20260422_133856_524812_lasso_updrs_3_time_aware_seed42,lasso,updrs_3,time_aware,42,14.460798898868294,11.378684740367259,0.7135006229725158,0.3323410915871816,2073,517,25
20260422_133900_247639_ridge_updrs_3_time_aware_seed42,ridge,updrs_3,time_aware,42,14.722718850365348,11.611645048940076,0.7348108825256056,0.30793623293602734,2073,517,25
20260422_133907_820630_linear_regression_updrs_3_time_aware_seed42,linear_regression,updrs_3,time_aware,42,14.817940676456395,11.709679499328873,0.7372324410835617,0.2989551900989349,2073,517,25
20260422_133858_604680_ridge_updrs_4_patient_seed42,ridge,updrs_4,patient,42,2.335120378286471,1.7972311164765042,1.522927369884811,0.06212475856607036,1241,336,1038
20260422_133905_166136_linear_regression_updrs_4_patient_seed42,linear_regression,updrs_4,patient,42,2.452078581912965,1.8867618655388365,1.5339007936263138,-0.03417799173848257,1241,336,1038
20260422_133901_401286_lasso_updrs_4_patient_seed42,lasso,updrs_4,patient,42,2.477535383230471,2.080165285292199,1.5219050994439267,-0.05576255510820105,1241,336,1038
20260422_133906_823019_random_forest_updrs_4_patient_seed42,random_forest,updrs_4,patient,42,2.5648111343800695,1.9357073038334325,1.538880505180642,-0.13145504761667226,1241,336,1038
20260422_133908_138580_xgboost_updrs_4_patient_seed42,xgboost,updrs_4,patient,42,2.6377662683089733,1.97244326401865,1.6018406525528945,-0.1967381722516388,1241,336,1038
20260422_133900_236054_ridge_updrs_4_time_aware_seed42,ridge,updrs_4,time_aware,42,3.4102901000320887,2.551148836352746,1.301707711007808,-0.06235339065234591,1260,317,1038
20260422_133907_807513_linear_regression_updrs_4_time_aware_seed42,linear_regression,updrs_4,time_aware,42,3.4521012522694043,2.58605404672851,1.3116874923578932,-0.08856260347817835,1260,317,1038
20260422_133856_513941_lasso_updrs_4_time_aware_seed42,lasso,updrs_4,time_aware,42,3.5586291019783047,2.655034800460668,1.327785731680722,-0.15678277141666674,1260,317,1038
20260422_133908_267450_random_forest_updrs_4_time_aware_seed42,random_forest,updrs_4,time_aware,42,3.644012562669929,2.6886346643903756,1.2807382925592838,-0.21295891497586483,1260,317,1038
20260422_133910_210778_xgboost_updrs_4_time_aware_seed42,xgboost,updrs_4,time_aware,42,3.9942982799345277,2.9242639153349663,1.3678050574412928,-0.45736168137178157,1260,317,1038
