rank,feature,importance,raw_value,method
1,current_updrs_2,3.650424963328035,3.650424963328035,abs_coef
2,peptide_abundance_mean,1.676838752923779,-1.676838752923779,abs_coef
3,protein_npx_std_lag1,1.6046471304354333,-1.6046471304354333,abs_coef
4,protein_npx_max,1.575625055479794,-1.575625055479794,abs_coef
5,protein_npx_mean_rolling3_mean,1.5622214158866468,1.5622214158866468,abs_coef
6,protein_npx_std_rolling3_mean,1.5567325807447687,1.5567325807447687,abs_coef
7,protein_npx_std,1.4330074063489449,1.4330074063489449,abs_coef
8,peptide_abundance_mean_rolling3_mean,1.4283536731342066,-1.4283536731342066,abs_coef
9,prior_updrs_2,1.370137418912909,1.370137418912909,abs_coef
10,peptide_abundance_mean_rolling3_std,1.2863849539511865,1.2863849539511865,abs_coef
11,protein_npx_max_rolling3_mean,1.2166889972064916,-1.2166889972064916,abs_coef
12,peptide_abundance_median_delta,1.0921400576177804,1.0921400576177804,abs_coef
13,prior_updrs_2_missing,1.0561210955660525,1.0561210955660525,abs_coef
14,peptide_abundance_std,0.98683290448193,0.98683290448193,abs_coef
15,protein_npx_std_delta,0.9228853243255205,0.9228853243255205,abs_coef
16,protein_npx_max_delta,0.8970965123334645,-0.8970965123334645,abs_coef
17,peptide_n_rows_rolling3_mean,0.8697361890642777,0.8697361890642777,abs_coef
18,peptide_n_unique_rolling3_mean,0.8697361890642761,0.8697361890642761,abs_coef
19,protein_npx_median_rolling3_std,0.8383894933680208,-0.8383894933680208,abs_coef
20,protein_npx_std_rolling3_std,0.8284328929225624,-0.8284328929225624,abs_coef
21,peptide_abundance_max_rolling3_mean,0.8246713878165698,-0.8246713878165698,abs_coef
22,protein_npx_mean_lag1,0.8085020312912921,-0.8085020312912921,abs_coef
23,current_updrs_3,0.7737326830785034,0.7737326830785034,abs_coef
24,peptide_abundance_max,0.7641131881365205,0.7641131881365205,abs_coef
25,protein_npx_max_lag1,0.7317090178856511,0.7317090178856511,abs_coef
26,peptide_n_rows_delta,0.6758778172856335,-0.6758778172856335,abs_coef
27,peptide_n_unique_delta,0.6758778172856316,-0.6758778172856316,abs_coef
28,protein_n_rows_rolling3_mean,0.6599025656867079,-0.6599025656867079,abs_coef
29,protein_n_unique_rolling3_mean,0.659902565680873,-0.659902565680873,abs_coef
30,peptide_protein_n_unique_rolling3_mean,0.6599025656801646,-0.6599025656801646,abs_coef
31,protein_npx_min_delta,0.6499891226898045,0.6499891226898045,abs_coef
32,peptide_abundance_mean_lag1,0.6150676598586696,0.6150676598586696,abs_coef
33,peptide_abundance_max_delta,0.5713051482666566,-0.5713051482666566,abs_coef
34,peptide_abundance_std_rolling3_mean,0.5300136486792314,0.5300136486792314,abs_coef
35,protein_npx_mean,0.5173673523208009,0.5173673523208009,abs_coef
36,protein_npx_median,0.5061425278877887,0.5061425278877887,abs_coef
37,protein_npx_min,0.4859692460268008,-0.4859692460268008,abs_coef
38,peptide_abundance_mean_delta,0.44222551453967995,-0.44222551453967995,abs_coef
39,peptide_abundance_max_rolling3_std,0.44046921353290935,0.44046921353290935,abs_coef
40,prior_updrs_3_missing,0.40806761942165604,-0.40806761942165604,abs_coef
41,peptide_abundance_median,0.3926521656540288,-0.3926521656540288,abs_coef
42,protein_npx_min_lag1,0.3767119641229545,0.3767119641229545,abs_coef
43,peptide_abundance_min_delta,0.37004664479802873,0.37004664479802873,abs_coef
44,protein_npx_median_delta,0.3573294397892416,-0.3573294397892416,abs_coef
45,peptide_abundance_std_rolling3_std,0.3492541970282738,-0.3492541970282738,abs_coef
46,protein_npx_mean_rolling3_std,0.34856501914948873,0.34856501914948873,abs_coef
47,protein_npx_max_rolling3_std,0.33864127485288115,-0.33864127485288115,abs_coef
48,protein_npx_min_rolling3_mean,0.3383185272050458,0.3383185272050458,abs_coef
49,prior_updrs_3,0.33627020815397635,-0.33627020815397635,abs_coef
50,peptide_abundance_std_lag1,0.33164389030008606,0.33164389030008606,abs_coef
51,current_updrs_1,0.31392925425336,0.31392925425336,abs_coef
52,peptide_protein_n_unique_rolling3_std,0.2889565419975341,0.2889565419975341,abs_coef
53,protein_n_rows_rolling3_std,0.28895654199738346,0.28895654199738346,abs_coef
54,protein_n_unique_rolling3_std,0.2889565419966891,0.2889565419966891,abs_coef
55,protein_n_rows_delta,0.2787002569292072,0.2787002569292072,abs_coef
56,protein_n_unique_delta,0.27870025692754047,0.27870025692754047,abs_coef
57,peptide_protein_n_unique_delta,0.27870025692746236,0.27870025692746236,abs_coef
58,peptide_n_unique_rolling3_std,0.2618992670339588,-0.2618992670339588,abs_coef
59,peptide_n_rows_rolling3_std,0.2618992670339581,-0.2618992670339581,abs_coef
60,prior_updrs_4,0.23785110271233784,0.23785110271233784,abs_coef
61,peptide_abundance_min,0.19930196640931366,-0.19930196640931366,abs_coef
62,protein_npx_median_rolling3_mean,0.1962405017652304,-0.1962405017652304,abs_coef
63,peptide_abundance_min_lag1,0.18566545152702602,0.18566545152702602,abs_coef
64,peptide_n_rows,0.17665593600101523,0.17665593600101523,abs_coef
65,peptide_n_unique,0.1766559360010125,0.1766559360010125,abs_coef
66,peptide_protein_n_unique,0.17177999049312892,-0.17177999049312892,abs_coef
67,protein_n_rows,0.1717799904927789,-0.1717799904927789,abs_coef
68,protein_n_unique,0.17177999049202877,-0.17177999049202877,abs_coef
69,protein_npx_min_rolling3_std,0.16941298129168375,-0.16941298129168375,abs_coef
70,peptide_abundance_max_lag1,0.1679120735794083,-0.1679120735794083,abs_coef
71,prior_updrs_1,0.1641449398430236,-0.1641449398430236,abs_coef
72,current_updrs_4,0.1633450520649874,-0.1633450520649874,abs_coef
73,peptide_n_unique_lag1,0.13730396425962293,0.13730396425962293,abs_coef
74,peptide_n_rows_lag1,0.13730396425962085,0.13730396425962085,abs_coef
75,current_updrs_2_missing,0.1203120809741012,0.1203120809741012,abs_coef
76,protein_npx_median_lag1,0.10628655471215424,-0.10628655471215424,abs_coef
77,visit_gap,0.10021827638964242,-0.10021827638964242,abs_coef
78,peptide_abundance_median_rolling3_std,0.08539130887532917,0.08539130887532917,abs_coef
79,medication_unknown_flag,0.08409862030770271,-0.08409862030770271,abs_coef
80,protein_n_rows_lag1,0.07634784509308831,0.07634784509308831,abs_coef
81,protein_n_unique_lag1,0.076347845092118,0.076347845092118,abs_coef
82,peptide_protein_n_unique_lag1,0.07634784509173347,0.07634784509173347,abs_coef
83,current_updrs_3_missing,0.07348409257737333,0.07348409257737333,abs_coef
84,prior_updrs_4_missing,0.06651820326177871,0.06651820326177871,abs_coef
85,peptide_abundance_min_rolling3_std,0.06400363325865481,0.06400363325865481,abs_coef
86,medication_on_flag,0.06239985114424484,0.06239985114424484,abs_coef
87,peptide_abundance_median_rolling3_mean,0.06123820934389872,-0.06123820934389872,abs_coef
88,peptide_abundance_median_lag1,0.05756616178780816,0.05756616178780816,abs_coef
89,peptide_abundance_std_delta,0.04841474437449726,-0.04841474437449726,abs_coef
90,protein_npx_mean_delta,0.047828250839576356,-0.047828250839576356,abs_coef
91,medication_off_flag,0.038402743078107086,0.038402743078107086,abs_coef
92,visit_number,0.03837791989829255,0.03837791989829255,abs_coef
93,peptide_abundance_median_missing,0.02228889084809089,-0.02228889084809089,abs_coef
94,peptide_abundance_max_missing,0.022288890848090857,-0.022288890848090857,abs_coef
95,peptide_abundance_min_missing,0.022288890848090586,-0.022288890848090586,abs_coef
96,peptide_abundance_std_missing,0.02228889084809055,-0.02228889084809055,abs_coef
97,protein_npx_std_missing,0.022288890848081343,-0.022288890848081343,abs_coef
98,protein_npx_min_missing,0.022288890848080868,-0.022288890848080868,abs_coef
99,peptide_abundance_mean_missing,0.022288890848080747,-0.022288890848080747,abs_coef
100,protein_npx_median_missing,0.02228889084808066,-0.02228889084808066,abs_coef
101,protein_npx_mean_missing,0.022288890848080535,-0.022288890848080535,abs_coef
102,protein_npx_max_missing,0.02228889084808035,-0.02228889084808035,abs_coef
103,peptide_abundance_max_lag1_missing,0.01256560001589004,-0.01256560001589004,abs_coef
104,peptide_abundance_max_delta_missing,0.012565600015890039,-0.012565600015890039,abs_coef
105,peptide_abundance_std_delta_missing,0.012565600015890039,-0.012565600015890039,abs_coef
106,peptide_abundance_min_delta_missing,0.012565600015890036,-0.012565600015890036,abs_coef
107,peptide_abundance_min_lag1_missing,0.012565600015890034,-0.012565600015890034,abs_coef
108,peptide_abundance_median_lag1_missing,0.012565600015890025,-0.012565600015890025,abs_coef
109,peptide_abundance_std_lag1_missing,0.012565600015890018,-0.012565600015890018,abs_coef
110,peptide_abundance_mean_delta_missing,0.012565600015890015,-0.012565600015890015,abs_coef
111,protein_npx_max_delta_missing,0.012565600015857784,-0.012565600015857784,abs_coef
112,protein_npx_median_lag1_missing,0.012565600015857777,-0.012565600015857777,abs_coef
113,protein_npx_min_delta_missing,0.012565600015810504,-0.012565600015810504,abs_coef
114,protein_npx_max_lag1_missing,0.012565600015810497,-0.012565600015810497,abs_coef
115,protein_npx_std_delta_missing,0.012565600015810495,-0.012565600015810495,abs_coef
116,protein_npx_min_lag1_missing,0.012565600015810493,-0.012565600015810493,abs_coef
117,protein_npx_std_lag1_missing,0.012565600015810491,-0.012565600015810491,abs_coef
