rank,feature,importance,raw_value,method
1,protein_n_unique_rolling3_mean,30075795946938.266,-30075795946938.266,abs_coef
2,protein_n_unique_lag1,18321459669636.016,-18321459669636.016,abs_coef
3,protein_n_rows_rolling3_mean,15182455097989.338,15182455097989.338,abs_coef
4,peptide_protein_n_unique_rolling3_mean,14893340848924.797,14893340848924.797,abs_coef
5,protein_n_unique_delta,14475507406262.834,-14475507406262.834,abs_coef
6,peptide_n_rows,14389996634460.4,-14389996634460.4,abs_coef
7,peptide_n_unique,14389996634422.012,14389996634422.012,abs_coef
8,protein_n_rows_lag1,12892106963089.277,12892106963089.277,abs_coef
9,peptide_abundance_std_missing,12744451220846.842,12744451220846.842,abs_coef
10,peptide_abundance_max_missing,11344454650466.559,-11344454650466.559,abs_coef
11,protein_n_unique,10099801499560.365,-10099801499560.365,abs_coef
12,peptide_abundance_min_missing,9119347903185.44,9119347903185.44,abs_coef
13,protein_npx_mean_missing,7741231581058.72,-7741231581058.72,abs_coef
14,protein_n_rows_delta,7272700441258.789,7272700441258.789,abs_coef
15,peptide_protein_n_unique_delta,7202806965002.141,7202806965002.141,abs_coef
16,peptide_protein_n_unique,6200188871656.685,6200188871656.685,abs_coef
17,peptide_abundance_mean_missing,6186083705867.546,-6186083705867.546,abs_coef
18,peptide_protein_n_unique_lag1,5429352706510.44,5429352706510.44,abs_coef
19,protein_npx_min_missing,4475727788473.667,4475727788473.667,abs_coef
20,protein_n_rows,3899612627940.254,3899612627940.254,abs_coef
21,protein_n_unique_rolling3_std,3777459327720.4224,-3777459327720.4224,abs_coef
22,peptide_abundance_median_missing,3667599835609.858,3667599835609.858,abs_coef
23,protein_npx_std_missing,3506418021973.0356,-3506418021973.0356,abs_coef
24,protein_npx_median_missing,2616107035227.445,-2616107035227.445,abs_coef
25,peptide_protein_n_unique_rolling3_std,2137509170828.269,2137509170828.269,abs_coef
26,protein_n_rows_rolling3_std,1639950156892.1714,1639950156892.1714,abs_coef
27,protein_npx_max_missing,1387168246475.0293,1387168246475.0293,abs_coef
28,peptide_n_unique_delta,117010045156.5774,117010045156.5774,abs_coef
29,peptide_n_rows_delta,117010045151.94849,-117010045151.94849,abs_coef
30,peptide_n_rows_lag1,85030889711.3501,85030889711.3501,abs_coef
31,peptide_n_unique_lag1,85030889674.44727,-85030889674.44727,abs_coef
32,peptide_n_unique_rolling3_mean,45829715819.6272,45829715819.6272,abs_coef
33,peptide_n_rows_rolling3_mean,45829715795.46094,-45829715795.46094,abs_coef
34,peptide_n_unique_rolling3_std,10597910334.114258,-10597910334.114258,abs_coef
35,peptide_n_rows_rolling3_std,10597910332.860352,10597910332.860352,abs_coef
36,medication_unknown_flag,5652824853.794857,5652824853.794857,abs_coef
37,has_prior_visit,5178410747.93457,-5178410747.93457,abs_coef
38,medication_on_flag,5097312536.48512,5097312536.48512,abs_coef
39,medication_off_flag,4093274664.7669883,4093274664.7669883,abs_coef
40,peptide_abundance_max_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
41,peptide_abundance_max_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
42,peptide_abundance_mean_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
43,peptide_abundance_mean_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
44,peptide_abundance_median_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
45,peptide_abundance_median_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
46,peptide_abundance_min_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
47,peptide_abundance_min_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
48,peptide_abundance_std_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
49,peptide_abundance_std_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
50,peptide_n_rows_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
51,peptide_n_rows_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
52,peptide_n_unique_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
53,peptide_n_unique_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
54,peptide_protein_n_unique_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
55,peptide_protein_n_unique_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
56,prior_updrs_1_missing,161825335.80285645,-161825335.80285645,abs_coef
57,protein_n_rows_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
58,protein_n_rows_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
59,protein_n_unique_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
60,protein_n_unique_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
61,protein_npx_max_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
62,protein_npx_max_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
63,protein_npx_mean_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
64,protein_npx_mean_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
65,protein_npx_median_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
66,protein_npx_median_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
67,protein_npx_min_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
68,protein_npx_min_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
69,protein_npx_std_delta_missing,161825335.80285645,-161825335.80285645,abs_coef
70,protein_npx_std_lag1_missing,161825335.80285645,-161825335.80285645,abs_coef
71,visit_gap_missing,161825335.80285645,-161825335.80285645,abs_coef
72,peptide_abundance_mean,74.3786596506834,-74.3786596506834,abs_coef
73,peptide_abundance_mean_delta,62.8544921875,62.8544921875,abs_coef
74,peptide_abundance_mean_lag1,56.827880859375,56.827880859375,abs_coef
75,protein_npx_mean,54.21540927886963,54.21540927886963,abs_coef
76,protein_npx_std_lag1,52.98779296875,-52.98779296875,abs_coef
77,protein_npx_max_lag1,48.0078125,48.0078125,abs_coef
78,protein_npx_mean_lag1,45.4638671875,-45.4638671875,abs_coef
79,peptide_abundance_std_delta,44.8876953125,-44.8876953125,abs_coef
80,peptide_abundance_mean_rolling3_mean,39.6904296875,39.6904296875,abs_coef
81,peptide_abundance_std,36.666057378053665,36.666057378053665,abs_coef
82,protein_npx_mean_delta,34.79052734375,-34.79052734375,abs_coef
83,protein_npx_mean_rolling3_mean,31.054931640625,-31.054931640625,abs_coef
84,protein_npx_std_delta,29.92578125,-29.92578125,abs_coef
85,protein_npx_max_delta,28.92724609375,28.92724609375,abs_coef
86,peptide_abundance_max_delta,20.21484375,20.21484375,abs_coef
87,protein_npx_max,20.142268419265747,-20.142268419265747,abs_coef
