rank,feature,importance,raw_value,method
1,peptide_protein_n_unique,61660899640962.56,-61660899640962.56,abs_coef
2,protein_n_unique,55964170837072.164,55964170837072.164,abs_coef
3,peptide_abundance_min_missing,31190441715231.984,31190441715231.984,abs_coef
4,peptide_abundance_max_missing,30934826044871.13,-30934826044871.13,abs_coef
5,protein_n_unique_rolling3_mean,29531154098934.434,-29531154098934.434,abs_coef
6,peptide_abundance_mean_missing,26867282084511.523,26867282084511.523,abs_coef
7,protein_npx_median_missing,21180904993209.316,-21180904993209.316,abs_coef
8,protein_n_unique_delta,19071143547885.52,-19071143547885.52,abs_coef
9,peptide_n_rows,17632888521659.832,-17632888521659.832,abs_coef
10,peptide_n_unique,17632888521625.355,17632888521625.355,abs_coef
11,peptide_protein_n_unique_rolling3_mean,14825210648129.906,14825210648129.906,abs_coef
12,protein_n_rows_rolling3_mean,14705943450802.611,14705943450802.611,abs_coef
13,protein_n_rows_delta,9583416668424.168,9583416668424.168,abs_coef
14,peptide_protein_n_unique_delta,9487726879411.586,9487726879411.586,abs_coef
15,protein_n_rows_lag1,6385046431396.659,6385046431396.659,abs_coef
16,peptide_abundance_median_missing,6230043481785.8955,6230043481785.8955,abs_coef
17,protein_n_rows,5696728803925.101,5696728803925.101,abs_coef
18,protein_npx_max_missing,5287990433856.613,-5287990433856.613,abs_coef
19,protein_n_unique_lag1,5229714563612.258,-5229714563612.258,abs_coef
20,peptide_abundance_std_missing,4744907590147.329,-4744907590147.329,abs_coef
21,medication_unknown_flag,4140283433966.5117,-4140283433966.5117,abs_coef
22,medication_on_flag,3783311434891.45,-3783311434891.45,abs_coef
23,medication_off_flag,3321857346788.09,-3321857346788.09,abs_coef
24,protein_n_unique_rolling3_std,2587013885657.484,-2587013885657.484,abs_coef
25,protein_npx_min_missing,1988463997184.6755,-1988463997184.6755,abs_coef
26,peptide_protein_n_unique_rolling3_std,1579295985286.3809,1579295985286.3809,abs_coef
27,has_prior_visit,1198745450278.063,1198745450278.063,abs_coef
28,peptide_protein_n_unique_lag1,1155331867864.0005,-1155331867864.0005,abs_coef
29,protein_n_rows_rolling3_std,1007717900371.77,1007717900371.77,abs_coef
30,peptide_n_unique_lag1,412910030577.61035,412910030577.61035,abs_coef
31,peptide_n_rows_lag1,412910030497.2079,-412910030497.2079,abs_coef
32,peptide_n_unique_rolling3_mean,377578945810.4092,-377578945810.4092,abs_coef
33,peptide_n_rows_rolling3_mean,377578945810.26465,377578945810.26465,abs_coef
34,peptide_n_unique_rolling3_std,264777843102.52734,-264777843102.52734,abs_coef
35,peptide_n_rows_rolling3_std,264777843100.89844,264777843100.89844,abs_coef
36,protein_npx_std_missing,235699146376.12344,-235699146376.12344,abs_coef
37,peptide_n_unique_delta,233778965177.82373,233778965177.82373,abs_coef
38,peptide_n_rows_delta,233778965128.45105,-233778965128.45105,abs_coef
39,protein_npx_mean_missing,85024924111.86882,85024924111.86882,abs_coef
40,peptide_abundance_max_delta_missing,37460795321.24658,37460795321.24658,abs_coef
41,peptide_abundance_max_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
42,peptide_abundance_mean_delta_missing,37460795321.24658,37460795321.24658,abs_coef
43,peptide_abundance_mean_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
44,peptide_abundance_median_delta_missing,37460795321.24658,37460795321.24658,abs_coef
45,peptide_abundance_median_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
46,peptide_abundance_min_delta_missing,37460795321.24658,37460795321.24658,abs_coef
47,peptide_abundance_min_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
48,peptide_abundance_std_delta_missing,37460795321.24658,37460795321.24658,abs_coef
49,peptide_abundance_std_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
50,peptide_n_rows_delta_missing,37460795321.24658,37460795321.24658,abs_coef
51,peptide_n_rows_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
52,peptide_n_unique_delta_missing,37460795321.24658,37460795321.24658,abs_coef
53,peptide_n_unique_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
54,peptide_protein_n_unique_delta_missing,37460795321.24658,37460795321.24658,abs_coef
55,peptide_protein_n_unique_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
56,prior_updrs_1_missing,37460795321.24658,37460795321.24658,abs_coef
57,protein_n_rows_delta_missing,37460795321.24658,37460795321.24658,abs_coef
58,protein_n_rows_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
59,protein_n_unique_delta_missing,37460795321.24658,37460795321.24658,abs_coef
60,protein_n_unique_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
61,protein_npx_max_delta_missing,37460795321.24658,37460795321.24658,abs_coef
62,protein_npx_max_lag1_missing,37460795321.24658,37460795321.24658,abs_coef
63,protein_npx_mean_delta_missing,37460795321.24658,37460795321.24658,abs_coef
