rank,feature,importance,raw_value,method
1,current_updrs_3,8.693290239884657,8.693290239884657,abs_coef
2,peptide_abundance_mean_rolling3_std,4.763924059848644,4.763924059848644,abs_coef
3,prior_updrs_3,4.334372272072509,4.334372272072509,abs_coef
4,protein_npx_mean_lag1,3.6747515040108683,-3.6747515040108683,abs_coef
5,prior_updrs_2_missing,3.179931703771472,-3.179931703771472,abs_coef
6,prior_updrs_3_missing,2.639871061263959,2.639871061263959,abs_coef
7,current_updrs_2,2.563471953835503,2.563471953835503,abs_coef
8,protein_npx_max_lag1,2.5066253518545074,2.5066253518545074,abs_coef
9,protein_npx_std_lag1,2.500359593313509,-2.500359593313509,abs_coef
10,peptide_abundance_std_rolling3_mean,2.382445619227006,-2.382445619227006,abs_coef
11,peptide_abundance_std_rolling3_std,2.3148088077242313,-2.3148088077242313,abs_coef
12,protein_npx_median_lag1,2.0856402203941764,-2.0856402203941764,abs_coef
13,protein_npx_mean_rolling3_std,2.08355970965828,-2.08355970965828,abs_coef
14,peptide_abundance_max,2.045479075932572,-2.045479075932572,abs_coef
15,peptide_n_rows_delta,2.0377195946388555,-2.0377195946388555,abs_coef
16,peptide_n_unique_delta,2.037719594638853,-2.037719594638853,abs_coef
17,peptide_n_rows_lag1,2.0017118391155724,2.0017118391155724,abs_coef
18,peptide_n_unique_lag1,2.0017118391155693,2.0017118391155693,abs_coef
19,peptide_abundance_mean_rolling3_mean,1.8664419505483503,1.8664419505483503,abs_coef
20,protein_npx_median_delta,1.8236576734703014,-1.8236576734703014,abs_coef
21,protein_npx_std_delta,1.653792813630651,1.653792813630651,abs_coef
22,protein_npx_max_delta,1.5507392790676482,-1.5507392790676482,abs_coef
23,peptide_abundance_median_rolling3_std,1.5382644970968937,-1.5382644970968937,abs_coef
24,protein_npx_median_rolling3_std,1.5051552511760358,1.5051552511760358,abs_coef
25,protein_n_unique_delta,1.4490749261530698,1.4490749261530698,abs_coef
26,peptide_protein_n_unique_delta,1.4490749261512526,1.4490749261512526,abs_coef
27,protein_n_rows_delta,1.4490749261499232,1.4490749261499232,abs_coef
28,visit_number,1.445082148729123,1.445082148729123,abs_coef
29,peptide_abundance_max_delta,1.3635647971448217,1.3635647971448217,abs_coef
30,protein_npx_std_rolling3_mean,1.3199981419289666,1.3199981419289666,abs_coef
31,peptide_abundance_mean_lag1,1.2202509296596538,1.2202509296596538,abs_coef
32,peptide_abundance_max_rolling3_mean,1.2015397104834458,1.2015397104834458,abs_coef
33,peptide_abundance_max_rolling3_std,1.1572429331095724,1.1572429331095724,abs_coef
34,protein_npx_max_rolling3_std,1.136505866201882,-1.136505866201882,abs_coef
35,peptide_abundance_median_lag1,1.1278318514943875,1.1278318514943875,abs_coef
36,peptide_abundance_median_delta,1.12612027835992,-1.12612027835992,abs_coef
37,protein_npx_median_rolling3_mean,1.1122143114456264,-1.1122143114456264,abs_coef
38,current_updrs_3_missing,1.0919832124356121,1.0919832124356121,abs_coef
