rank,feature,importance,raw_value,method
1,current_updrs_1,2.8583139422256374,2.8583139422256374,abs_coef
2,prior_updrs_1,0.5913865724722321,0.5913865724722321,abs_coef
3,current_updrs_2,0.06154639785906498,0.06154639785906498,abs_coef
4,current_updrs_1_missing,0.0,0.0,abs_coef
5,current_updrs_2_missing,0.0,0.0,abs_coef
6,current_updrs_3,0.0,0.0,abs_coef
7,current_updrs_3_missing,0.0,-0.0,abs_coef
8,current_updrs_4,0.0,0.0,abs_coef
9,current_updrs_4_missing,0.0,-0.0,abs_coef
10,has_prior_visit,0.0,-0.0,abs_coef
11,medication_off_flag,0.0,0.0,abs_coef
12,medication_on_flag,0.0,0.0,abs_coef
13,medication_unknown_flag,0.0,-0.0,abs_coef
14,peptide_abundance_max,0.0,-0.0,abs_coef
15,peptide_abundance_max_delta,0.0,0.0,abs_coef
16,peptide_abundance_max_delta_missing,0.0,0.0,abs_coef
17,peptide_abundance_max_lag1,0.0,-0.0,abs_coef
18,peptide_abundance_max_lag1_missing,0.0,0.0,abs_coef
19,peptide_abundance_max_missing,0.0,0.0,abs_coef
20,peptide_abundance_max_rolling3_mean,0.0,-0.0,abs_coef
21,peptide_abundance_max_rolling3_std,0.0,-0.0,abs_coef
22,peptide_abundance_mean,0.0,-0.0,abs_coef
23,peptide_abundance_mean_delta,0.0,0.0,abs_coef
24,peptide_abundance_mean_delta_missing,0.0,0.0,abs_coef
25,peptide_abundance_mean_lag1,0.0,-0.0,abs_coef
26,peptide_abundance_mean_lag1_missing,0.0,0.0,abs_coef
27,peptide_abundance_mean_missing,0.0,0.0,abs_coef
28,peptide_abundance_mean_rolling3_mean,0.0,-0.0,abs_coef
29,peptide_abundance_mean_rolling3_std,0.0,-0.0,abs_coef
30,peptide_abundance_median,0.0,-0.0,abs_coef
31,peptide_abundance_median_delta,0.0,0.0,abs_coef
32,peptide_abundance_median_delta_missing,0.0,0.0,abs_coef
33,peptide_abundance_median_lag1,0.0,-0.0,abs_coef
34,peptide_abundance_median_lag1_missing,0.0,0.0,abs_coef
35,peptide_abundance_median_missing,0.0,0.0,abs_coef
36,peptide_abundance_median_rolling3_mean,0.0,-0.0,abs_coef
37,peptide_abundance_median_rolling3_std,0.0,-0.0,abs_coef
38,peptide_abundance_min,0.0,-0.0,abs_coef
39,peptide_abundance_min_delta,0.0,0.0,abs_coef
40,peptide_abundance_min_delta_missing,0.0,0.0,abs_coef
41,peptide_abundance_min_lag1,0.0,-0.0,abs_coef
42,peptide_abundance_min_lag1_missing,0.0,0.0,abs_coef
43,peptide_abundance_min_missing,0.0,0.0,abs_coef
44,peptide_abundance_min_rolling3_mean,0.0,-0.0,abs_coef
45,peptide_abundance_min_rolling3_std,0.0,-0.0,abs_coef
46,peptide_abundance_std,0.0,-0.0,abs_coef
47,peptide_abundance_std_delta,0.0,0.0,abs_coef
48,peptide_abundance_std_delta_missing,0.0,0.0,abs_coef
49,peptide_abundance_std_lag1,0.0,-0.0,abs_coef
50,peptide_abundance_std_lag1_missing,0.0,0.0,abs_coef
51,peptide_abundance_std_missing,0.0,0.0,abs_coef
52,peptide_abundance_std_rolling3_mean,0.0,-0.0,abs_coef
53,peptide_abundance_std_rolling3_std,0.0,-0.0,abs_coef
54,peptide_n_rows,0.0,-0.0,abs_coef
55,peptide_n_rows_delta,0.0,-0.0,abs_coef
56,peptide_n_rows_delta_missing,0.0,0.0,abs_coef
57,peptide_n_rows_lag1,0.0,-0.0,abs_coef
58,peptide_n_rows_lag1_missing,0.0,0.0,abs_coef
59,peptide_n_rows_rolling3_mean,0.0,-0.0,abs_coef
60,peptide_n_rows_rolling3_std,0.0,-0.0,abs_coef
61,peptide_n_unique,0.0,-0.0,abs_coef
62,peptide_n_unique_delta,0.0,-0.0,abs_coef
63,peptide_n_unique_delta_missing,0.0,0.0,abs_coef
64,peptide_n_unique_lag1,0.0,-0.0,abs_coef
65,peptide_n_unique_lag1_missing,0.0,0.0,abs_coef
66,peptide_n_unique_rolling3_mean,0.0,-0.0,abs_coef
67,peptide_n_unique_rolling3_std,0.0,-0.0,abs_coef
68,peptide_protein_n_unique,0.0,-0.0,abs_coef
69,peptide_protein_n_unique_delta,0.0,-0.0,abs_coef
70,peptide_protein_n_unique_delta_missing,0.0,0.0,abs_coef
71,peptide_protein_n_unique_lag1,0.0,-0.0,abs_coef
72,peptide_protein_n_unique_lag1_missing,0.0,0.0,abs_coef
73,peptide_protein_n_unique_rolling3_mean,0.0,-0.0,abs_coef
74,peptide_protein_n_unique_rolling3_std,0.0,-0.0,abs_coef
75,prior_updrs_1_missing,0.0,0.0,abs_coef
76,prior_updrs_2,0.0,0.0,abs_coef
77,prior_updrs_2_missing,0.0,0.0,abs_coef
78,prior_updrs_3,0.0,0.0,abs_coef
79,prior_updrs_3_missing,0.0,0.0,abs_coef
80,prior_updrs_4,0.0,0.0,abs_coef
81,prior_updrs_4_missing,0.0,-0.0,abs_coef
82,protein_n_rows,0.0,-0.0,abs_coef
83,protein_n_rows_delta,0.0,-0.0,abs_coef
84,protein_n_rows_delta_missing,0.0,0.0,abs_coef
85,protein_n_rows_lag1,0.0,-0.0,abs_coef
86,protein_n_rows_lag1_missing,0.0,0.0,abs_coef
87,protein_n_rows_rolling3_mean,0.0,-0.0,abs_coef
88,protein_n_rows_rolling3_std,0.0,-0.0,abs_coef
89,protein_n_unique,0.0,-0.0,abs_coef
90,protein_n_unique_delta,0.0,-0.0,abs_coef
91,protein_n_unique_delta_missing,0.0,0.0,abs_coef
92,protein_n_unique_lag1,0.0,-0.0,abs_coef
93,protein_n_unique_lag1_missing,0.0,0.0,abs_coef
94,protein_n_unique_rolling3_mean,0.0,-0.0,abs_coef
95,protein_n_unique_rolling3_std,0.0,-0.0,abs_coef
96,protein_npx_max,0.0,-0.0,abs_coef
97,protein_npx_max_delta,0.0,0.0,abs_coef
98,protein_npx_max_delta_missing,0.0,0.0,abs_coef
99,protein_npx_max_lag1,0.0,-0.0,abs_coef
100,protein_npx_max_lag1_missing,0.0,0.0,abs_coef
101,protein_npx_max_missing,0.0,0.0,abs_coef
102,protein_npx_max_rolling3_mean,0.0,-0.0,abs_coef
103,protein_npx_max_rolling3_std,0.0,-0.0,abs_coef
104,protein_npx_mean,0.0,-0.0,abs_coef
105,protein_npx_mean_delta,0.0,0.0,abs_coef
106,protein_npx_mean_delta_missing,0.0,0.0,abs_coef
107,protein_npx_mean_lag1,0.0,-0.0,abs_coef
108,protein_npx_mean_lag1_missing,0.0,0.0,abs_coef
109,protein_npx_mean_missing,0.0,0.0,abs_coef
110,protein_npx_mean_rolling3_mean,0.0,-0.0,abs_coef
111,protein_npx_mean_rolling3_std,0.0,-0.0,abs_coef
112,protein_npx_median,0.0,-0.0,abs_coef
113,protein_npx_median_delta,0.0,-0.0,abs_coef
114,protein_npx_median_delta_missing,0.0,0.0,abs_coef
115,protein_npx_median_lag1,0.0,-0.0,abs_coef
116,protein_npx_median_lag1_missing,0.0,0.0,abs_coef
117,protein_npx_median_missing,0.0,0.0,abs_coef
118,protein_npx_median_rolling3_mean,0.0,-0.0,abs_coef
119,protein_npx_median_rolling3_std,0.0,-0.0,abs_coef
120,protein_npx_min,0.0,-0.0,abs_coef
121,protein_npx_min_delta,0.0,0.0,abs_coef
122,protein_npx_min_delta_missing,0.0,0.0,abs_coef
123,protein_npx_min_lag1,0.0,-0.0,abs_coef
124,protein_npx_min_lag1_missing,0.0,0.0,abs_coef
125,protein_npx_min_missing,0.0,0.0,abs_coef
126,protein_npx_min_rolling3_mean,0.0,-0.0,abs_coef
127,protein_npx_min_rolling3_std,0.0,-0.0,abs_coef
128,protein_npx_std,0.0,-0.0,abs_coef
129,protein_npx_std_delta,0.0,0.0,abs_coef
130,protein_npx_std_delta_missing,0.0,0.0,abs_coef
131,protein_npx_std_lag1,0.0,-0.0,abs_coef
132,protein_npx_std_lag1_missing,0.0,0.0,abs_coef
133,protein_npx_std_missing,0.0,0.0,abs_coef
134,protein_npx_std_rolling3_mean,0.0,-0.0,abs_coef
135,protein_npx_std_rolling3_std,0.0,-0.0,abs_coef
136,visit_gap,0.0,-0.0,abs_coef
137,visit_gap_missing,0.0,0.0,abs_coef
138,visit_number,0.0,0.0,abs_coef
