rank,feature,importance,raw_value,method
1,current_updrs_3,0.7451864151044184,0.7451864151044184,feature_importances_
2,prior_updrs_3,0.06316535555053726,0.06316535555053726,feature_importances_
3,current_updrs_2,0.016961450308393817,0.016961450308393817,feature_importances_
4,current_updrs_1,0.010894275511232836,0.010894275511232836,feature_importances_
5,prior_updrs_2,0.010255994045622755,0.010255994045622755,feature_importances_
6,prior_updrs_1,0.007814832547594916,0.007814832547594916,feature_importances_
7,visit_number,0.00630781324895237,0.00630781324895237,feature_importances_
8,current_updrs_3_missing,0.006121745552685744,0.006121745552685744,feature_importances_
9,protein_npx_min_rolling3_std,0.0053999487916593335,0.0053999487916593335,feature_importances_
10,protein_npx_min_rolling3_mean,0.004949639407857642,0.004949639407857642,feature_importances_
11,peptide_abundance_min_rolling3_std,0.004769281781344766,0.004769281781344766,feature_importances_
12,prior_updrs_4,0.004570749561820355,0.004570749561820355,feature_importances_
13,peptide_abundance_min_rolling3_mean,0.0036902757081057344,0.0036902757081057344,feature_importances_
14,peptide_abundance_max_rolling3_std,0.0036179099827795694,0.0036179099827795694,feature_importances_
15,protein_npx_median_rolling3_std,0.0032810346404732985,0.0032810346404732985,feature_importances_
16,current_updrs_4,0.003265547794840147,0.003265547794840147,feature_importances_
17,protein_npx_median_rolling3_mean,0.0030156195506544237,0.0030156195506544237,feature_importances_
18,peptide_abundance_median_rolling3_std,0.0029005014280798604,0.0029005014280798604,feature_importances_
19,protein_npx_min_delta,0.0027303544938914875,0.0027303544938914875,feature_importances_
20,peptide_abundance_min_delta,0.002558242787288354,0.002558242787288354,feature_importances_
21,peptide_abundance_max_rolling3_mean,0.0024893824472297338,0.0024893824472297338,feature_importances_
22,peptide_abundance_std_rolling3_std,0.002313406830527759,0.002313406830527759,feature_importances_
23,protein_npx_median_delta,0.002253940915443716,0.002253940915443716,feature_importances_
24,peptide_n_rows_rolling3_std,0.002197599112666172,0.002197599112666172,feature_importances_
25,peptide_abundance_median_rolling3_mean,0.0021153911075740867,0.0021153911075740867,feature_importances_
26,protein_npx_mean_rolling3_std,0.002073146325746724,0.002073146325746724,feature_importances_
27,peptide_abundance_std_rolling3_mean,0.001974017587041829,0.001974017587041829,feature_importances_
28,peptide_abundance_max_delta,0.0019476314627201708,0.0019476314627201708,feature_importances_
29,peptide_n_unique_delta,0.0019406800063683245,0.0019406800063683245,feature_importances_
30,peptide_n_unique_rolling3_std,0.0019218449591500801,0.0019218449591500801,feature_importances_
31,peptide_n_unique_rolling3_mean,0.0018912089198353428,0.0018912089198353428,feature_importances_
32,peptide_abundance_mean_rolling3_std,0.0018848539440958932,0.0018848539440958932,feature_importances_
33,peptide_n_rows_delta,0.001882968414469507,0.001882968414469507,feature_importances_
34,peptide_abundance_min,0.0017979564153740078,0.0017979564153740078,feature_importances_
35,protein_npx_min,0.001784523749397603,0.001784523749397603,feature_importances_
36,peptide_abundance_mean_rolling3_mean,0.0017679637843571727,0.0017679637843571727,feature_importances_
37,peptide_abundance_median_delta,0.0017495558743310575,0.0017495558743310575,feature_importances_
38,protein_npx_median,0.0016926128271709758,0.0016926128271709758,feature_importances_
39,protein_npx_std_rolling3_std,0.0016486054357415523,0.0016486054357415523,feature_importances_
40,peptide_n_rows_rolling3_mean,0.0016442353796725432,0.0016442353796725432,feature_importances_
41,protein_npx_max_rolling3_std,0.0015623699302981912,0.0015623699302981912,feature_importances_
