rank,feature,importance,raw_value,method
1,current_updrs_4,0.33475685119628906,0.33475685119628906,feature_importances_
2,prior_updrs_4,0.11309012770652771,0.11309012770652771,feature_importances_
3,protein_npx_max,0.029150504618883133,0.029150504618883133,feature_importances_
4,peptide_abundance_mean,0.028256963938474655,0.028256963938474655,feature_importances_
5,protein_npx_mean_rolling3_std,0.025347193703055382,0.025347193703055382,feature_importances_
6,current_updrs_3_missing,0.02029654011130333,0.02029654011130333,feature_importances_
7,peptide_abundance_median_lag1,0.016065796837210655,0.016065796837210655,feature_importances_
8,prior_updrs_1,0.015477936714887619,0.015477936714887619,feature_importances_
9,peptide_abundance_min,0.014893707819283009,0.014893707819283009,feature_importances_
10,protein_npx_median_rolling3_std,0.014892716892063618,0.014892716892063618,feature_importances_
11,protein_npx_std_rolling3_std,0.014857830479741096,0.014857830479741096,feature_importances_
12,peptide_abundance_std_lag1,0.014570559374988079,0.014570559374988079,feature_importances_
13,peptide_abundance_std_rolling3_std,0.013799617998301983,0.013799617998301983,feature_importances_
14,protein_npx_max_rolling3_std,0.012794414535164833,0.012794414535164833,feature_importances_
15,protein_npx_mean,0.012009420432150364,0.012009420432150364,feature_importances_
16,prior_updrs_2,0.011906009167432785,0.011906009167432785,feature_importances_
17,protein_n_unique_rolling3_std,0.011185995303094387,0.011185995303094387,feature_importances_
18,protein_npx_min_rolling3_std,0.011182346381247044,0.011182346381247044,feature_importances_
19,peptide_abundance_min_rolling3_std,0.010798739269375801,0.010798739269375801,feature_importances_
20,current_updrs_2,0.01028616912662983,0.01028616912662983,feature_importances_
21,peptide_abundance_median_rolling3_mean,0.009845123626291752,0.009845123626291752,feature_importances_
22,peptide_abundance_median_delta,0.00967456866055727,0.00967456866055727,feature_importances_
23,peptide_abundance_std_rolling3_mean,0.009588975459337234,0.009588975459337234,feature_importances_
24,peptide_abundance_max_rolling3_mean,0.009549275040626526,0.009549275040626526,feature_importances_
25,peptide_abundance_min_lag1,0.008976110257208347,0.008976110257208347,feature_importances_
26,peptide_abundance_min_rolling3_mean,0.008724968880414963,0.008724968880414963,feature_importances_
27,protein_npx_std_rolling3_mean,0.00865764170885086,0.00865764170885086,feature_importances_
28,prior_updrs_3,0.008512377738952637,0.008512377738952637,feature_importances_
29,current_updrs_4_missing,0.007793752942234278,0.007793752942234278,feature_importances_
30,protein_n_unique_rolling3_mean,0.006658331491053104,0.006658331491053104,feature_importances_
31,protein_n_unique_lag1,0.006615490652620792,0.006615490652620792,feature_importances_
32,protein_npx_std,0.006537922658026218,0.006537922658026218,feature_importances_
33,current_updrs_3,0.006506686098873615,0.006506686098873615,feature_importances_
34,peptide_n_unique_rolling3_std,0.006341908592730761,0.006341908592730761,feature_importances_
35,visit_number,0.006287285126745701,0.006287285126745701,feature_importances_
36,current_updrs_1,0.006031900644302368,0.006031900644302368,feature_importances_
